RunTime,ExecutableName
2024-11-20 18:00:08,\VOLUME{01d910b5b8a367ec-6eb8e33a}\WINDOWS\SYSTEM32\APPLICATIONFRAMEHOST.EXE
2024-11-19 18:25:02,\VOLUME{01d910b5b8a367ec-6eb8e33a}\WINDOWS\SYSTEM32\APPLICATIONFRAMEHOST.EXE
2024-11-18 18:09:34,\VOLUME{01d910b5b8a367ec-6eb8e33a}\WINDOWS\SYSTEM32\APPLICATIONFRAMEHOST.EXE
2024-11-17 17:36:03,\VOLUME{01d910b5b8a367ec-6eb8e33a}\WINDOWS\SYSTEM32\APPLICATIONFRAMEHOST.EXE
2024-11-16 19:04:27,\VOLUME{01d910b5b8a367ec-6eb8e33a}\WINDOWS\SYSTEM32\APPLICATIONFRAMEHOST.EXE
2024-11-15 20:51:25,\VOLUME{01d910b5b8a367ec-6eb8e33a}\WINDOWS\SYSTEM32\APPLICATIONFRAMEHOST.EXE
2024-11-15 16:47:46,\VOLUME{01d910b5b8a367ec-6eb8e33a}\WINDOWS\SYSTEM32\APPLICATIONFRAMEHOST.EXE
2024-11-15 05:47:10,\VOLUME{01d910b5b8a367ec-6eb8e33a}\WINDOWS\SYSTEM32\APPLICATIONFRAMEHOST.EXE
2024-10-25 21:55:08,\VOLUME{01d910b5b8a367ec-6eb8e33a}\USERS\ADMINISTRATOR\DESKTOP\SYSINTERNALSSUITE\AUTORUNS.EXE
2024-11-20 19:43:41,\VOLUME{01d910b5b8a367ec-6eb8e33a}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2024-11-20 19:14:16,\VOLUME{01d910b5b8a367ec-6eb8e33a}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2024-11-20 19:02:00,\VOLUME{01d910b5b8a367ec-6eb8e33a}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2024-11-20 18:59:42,\VOLUME{01d910b5b8a367ec-6eb8e33a}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2024-11-20 18:59:42,\VOLUME{01d910b5b8a367ec-6eb8e33a}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2024-11-20 18:40:07,\VOLUME{01d910b5b8a367ec-6eb8e33a}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2024-11-20 18:29:21,\VOLUME{01d910b5b8a367ec-6eb8e33a}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2024-11-20 18:00:05,\VOLUME{01d910b5b8a367ec-6eb8e33a}\WINDOWS\SYSTEM32\BDEUISRV.EXE
2024-11-16 20:47:08,\VOLUME{01d910b5b8a367ec-6eb8e33a}\PROGRAM FILES\WINDOWSAPPS\MICROSOFT.WINDOWSCALCULATOR_11.2409.0.0_X64__8WEKYB3D8BBWE\CALCULATORAPP.EXE
2024-11-16 20:45:18,\VOLUME{01d910b5b8a367ec-6eb8e33a}\PROGRAM FILES\WINDOWSAPPS\MICROSOFT.WINDOWSCALCULATOR_11.2409.0.0_X64__8WEKYB3D8BBWE\CALCULATORAPP.EXE
2024-11-20 18:09:34,\VOLUME{01d910b5b8a367ec-6eb8e33a}\PROGRAM FILES\GOOGLE\CHROME\APPLICATION\CHROME.EXE
2024-11-19 18:28:01,\VOLUME{01d910b5b8a367ec-6eb8e33a}\PROGRAM FILES\GOOGLE\CHROME\APPLICATION\CHROME.EXE
2024-11-18 18:25:39,\VOLUME{01d910b5b8a367ec-6eb8e33a}\PROGRAM FILES\GOOGLE\CHROME\APPLICATION\CHROME.EXE
2024-11-17 19:46:53,\VOLUME{01d910b5b8a367ec-6eb8e33a}\PROGRAM FILES\GOOGLE\CHROME\APPLICATION\CHROME.EXE
2024-11-17 19:44:20,\VOLUME{01d910b5b8a367ec-6eb8e33a}\PROGRAM FILES\GOOGLE\CHROME\APPLICATION\CHROME.EXE
2024-11-17 19:38:35,\VOLUME{01d910b5b8a367ec-6eb8e33a}\PROGRAM FILES\GOOGLE\CHROME\APPLICATION\CHROME.EXE
2024-11-17 17:35:58,\VOLUME{01d910b5b8a367ec-6eb8e33a}\PROGRAM FILES\GOOGLE\CHROME\APPLICATION\CHROME.EXE
2024-11-16 19:14:43,\VOLUME{01d910b5b8a367ec-6eb8e33a}\PROGRAM FILES\GOOGLE\CHROME\APPLICATION\CHROME.EXE
2024-11-20 20:05:52,\VOLUME{01d910b5b8a367ec-6eb8e33a}\PROGRAM FILES\GOOGLE\CHROME\APPLICATION\CHROME.EXE
2024-11-20 18:09:50,\VOLUME{01d910b5b8a367ec-6eb8e33a}\PROGRAM FILES\GOOGLE\CHROME\APPLICATION\CHROME.EXE
2024-11-20 18:09:50,\VOLUME{01d910b5b8a367ec-6eb8e33a}\PROGRAM FILES\GOOGLE\CHROME\APPLICATION\CHROME.EXE
2024-11-20 18:09:44,\VOLUME{01d910b5b8a367ec-6eb8e33a}\PROGRAM FILES\GOOGLE\CHROME\APPLICATION\CHROME.EXE
2024-11-20 18:09:43,\VOLUME{01d910b5b8a367ec-6eb8e33a}\PROGRAM FILES\GOOGLE\CHROME\APPLICATION\CHROME.EXE
2024-11-20 18:09:43,\VOLUME{01d910b5b8a367ec-6eb8e33a}\PROGRAM FILES\GOOGLE\CHROME\APPLICATION\CHROME.EXE
2024-11-20 18:09:35,\VOLUME{01d910b5b8a367ec-6eb8e33a}\PROGRAM FILES\GOOGLE\CHROME\APPLICATION\CHROME.EXE
2024-11-20 18:09:43,\VOLUME{01d910b5b8a367ec-6eb8e33a}\PROGRAM FILES\GOOGLE\CHROME\APPLICATION\CHROME.EXE
2024-11-20 18:11:35,\VOLUME{01d910b5b8a367ec-6eb8e33a}\PROGRAM FILES\GOOGLE\CHROME\APPLICATION\CHROME.EXE
2024-11-20 18:09:34,\VOLUME{01d910b5b8a367ec-6eb8e33a}\PROGRAM FILES\GOOGLE\CHROME\APPLICATION\CHROME.EXE
2024-11-20 20:05:52,\VOLUME{01d910b5b8a367ec-6eb8e33a}\PROGRAM FILES\GOOGLE\CHROME\APPLICATION\CHROME.EXE
2024-11-20 19:53:14,\VOLUME{01d910b5b8a367ec-6eb8e33a}\PROGRAM FILES\GOOGLE\CHROME\APPLICATION\CHROME.EXE
2024-11-20 18:10:05,\VOLUME{01d910b5b8a367ec-6eb8e33a}\PROGRAM FILES\GOOGLE\CHROME\APPLICATION\CHROME.EXE
